possession_trance_present,EA113_Societal_rigidity_T,EA012_Marital_residence_with_kin_prevailing_pattern_wife,EA012_Marital_residence_with_kin_prevailing_pattern_other,EA015_Community_marriage_organization_exogamous,EA015_Community_marriage_organization_endogamous,EA042_Subsistence_economy_dominant_activity_int_agr,EA042_Subsistence_economy_dominant_activity_foraging,EA042_Subsistence_economy_dominant_activity_multiple,EA042_Subsistence_economy_dominant_activity_pastoralism,EA043_Descent_major_type_patrilineal,EA043_Descent_major_type_matrilineal,EA043_Descent_major_type_other,EA053_Sex_differences_animal_husbandry_other,EA053_Sex_differences_animal_husbandry_both,EA053_Sex_differences_animal_husbandry_mostly female,EA054_Sex_differences_agriculture_both,EA054_Sex_differences_agriculture_mostly male,EA054_Sex_differences_agriculture_other,EA072_Political_succession_other,EA072_Political_succession_absent,EA072_Political_succession_matrilineal,EA073_Political_succession_hereditary_succession_other,EA073_Political_succession_hereditary_succession_absent,EA073_Political_succession_hereditary_succession_matrilineal,EA074_Inheritance_rule_for_real_property_land_absent,EA074_Inheritance_rule_for_real_property_land_other,EA074_Inheritance_rule_for_real_property_land_matrilineal
False,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
False,,0.0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
False,,0.0,0.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,0.0,0.0,0.0
False,,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
False,,0.0,0.0,1.0,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
False,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
False,,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
False,,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,1.0,,,,0.0,1.0,0.0,,,,,,,0.0,0.0,0.0
False,,1.0,0.0,0.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
False,,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,,1.0,0.0,0.0,0.0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,
